stopId,stopNumber,stopName
2798,3134,"Maur, Aschbach"
2799,1889,"Zürich, Platte"
2800,3138,"Zürich, Kappenbühlweg"
2801,3139,"Zürich, Brunaupark"
2802,2302,"Zürich, Schweighof"
2803,884,"Zürich, Freilagerstrasse"
2804,2306,"Zürich, Schwert"
2807,1307,"Zürich, Im Hagacker"
2808,2899,"Zürich, Wieslergasse"
2809,46,"Zürich, Albisgütli"
2810,47,"Zürich, Albisrieden"
2811,979,"Zürich, Giblenstrasse"
2812,1139,"Zürich, Heerenwiesen"
2813,3141,"Zürich, Landiwiese"
2814,2055,"Zürich, Rentenanstalt"
2815,1220,"Zürich, Hirzenbach"
2816,134,"Zürich, Auzelg Ost"
2817,3148,"Zürich, Letzipark"
2818,137,"Zürich, Bachmattstrasse"
2821,2140,"Zürich, Rütihof"
2822,2141,"Schlieren, Rütistrasse"
2823,895,"Zürich, Friedhof Hönggerberg"
2824,2142,"Zürich, SBB-Werkstätte"
2825,896,"Zürich, Friedhof Schwandenholz"
2826,897,"Zürich, Friedhof Sihlfeld"
2828,1310,"Zürich, Im Hüsli"
2829,2147,"Zürich, Sackzelg"
2831,2402,"Zürich, Singlistrasse"
2832,1315,"Zürich, Im Walder"
2833,53,"Zollikon, Allmend"
2834,1316,"Zürich, Im Wingert"
2835,54,"Küsnacht ZH, Allmend"
2836,1143,"Zürich, Hegianwandweg"
2837,3150,"Zürich, Am Börtli"
2838,3151,"Zürich, Appenzellerstrasse"
2839,3153,"Zürich, Juchhof"
2840,3155,"Zürich, Schulhaus Altweg"
2841,1231,"Zürich, Hohenklingensteig"
2843,2320,"Zürich, Schönauring"
2845,1407,"Zürich, Kirche Fluntern"
2846,2999,"Fällanden, Zil"
2847,6250,"Zürich, Himmeri"
2848,2327,"Küsnacht ZH, Schübel"
2849,1239,"Zürich, Holzerhurd"
2850,2154,"Kilchberg ZH, Sanatorium"
2851,1320,"Zürich, In der Ey"
2852,1327,"Schlieren, Industrie Gaswerk"
2853,67,"Zürich, Alte Trotte"
2854,1157,"Zürich, Helmhaus"
2855,6600,"Aesch bei Maur, Im Brünneli"
2856,410,"Rüschlikon, Schlossstrasse"
2857,1073,"Zürich, Gutstrasse"
2858,1249,"Kilchberg ZH, Hornhaldenstr."
2859,1075,"Zumikon, Gössikon"
2861,2164,"Zürich, Scheuchzerstrasse"
2862,1503,"Zürich, Langgrütstrasse"
2863,1505,"Rüschlikon, Langhaldenstrasse"
2864,2167,"Küsnacht ZH, Schiedhaldensteig"
2865,2168,"Küsnacht ZH, Schiedhaldenstr."
2866,418,"Zollikon, Bahnübergang"
2867,70,"Zürich, Altenhofstrasse"
2868,1162,"Zürich, Herdernstrasse"
2869,508,"Zürich, Bleulerstrasse"
2870,1251,"Zürich, Hottingerplatz"
2871,1252,"Zürich, Hubertus"
2872,2341,"Zollikon, Schützenstrasse"
2891,493,"Zürich, Binz"
2893,6759,"Zürich, Schiffbau"
2895,3368,"Fällanden, Wigarten"
2906,6825,"Unterengstringen, Sennenbüel"
2944,9999,"D'dorf, Bhf. Nord (Wangenstr.)"
