stopId,stopNumber,stopName
2009,2789,"Bergdietikon, Vorbühl"
2010,1028,"Geroldswil, Grindlen"
2011,6044,"Zollikon, Garage G.-Maurer-Str"
2013,6300,"Spreitenbach, Breiti"
2014,6301,"Spreitenbach, Furttalstrasse"
2015,6303,"Spreitenbach, Interio"
2016,29,"Unterengstringen, Aegelsee"
2018,3798,"Dietikon, Vorstadt"
2019,2798,"Schlieren, Wagonsfabrik"
2020,1964,"Oetwil an der Limmat, Post"
2021,1039,"Dietikon, Grünau"
2022,2128,"Zürich, Röslistrasse"
2023,6055,"Zürich, Depot 2 Wollishofen"
2025,3044,"Zürich, Bhf Wollishofen (Tram)"
2027,2975,"Dübendorf, Zelglistrasse"
2028,125,"Weiningen ZH, Ausserdorf"
2029,2303,"Geroldswil, Schweizäcker"
2033,2051,"Schlieren, Reitmen"
2034,2982,"Geroldswil, Zentrum"
2035,2054,"Zürich, Rennweg"
2036,2984,"Oberengstringen, Zentrum"
2038,2313,"Dietikon, Schäflibach"
2039,1226,"Dietikon, Hofacker"
2040,1054,"Dübendorf, Grüzenstrasse"
2042,2406,"Dietikon, Sommerau"
2043,2236,"Schlieren, Zentrum/Bahnhof"
2044,2238,"Urdorf, Schlierenstrasse"
2045,1061,"Zürich, Guggachstrasse"
2046,2326,"Zürich, Schörlistrasse"
2047,2411,"Zürich, Sonneggstrasse"
2048,990,"Dietikon, Gjuchstrasse"
2050,1151,"Schlieren, Heimeliweg"
2052,998,"Zürich, Glattwiesen"
2053,1414,"Dübendorf, Kirche Wil"
2054,1417,"Dietikon, Kirchplatz"
2055,6261,"Dietikon, Stadthalle Ost"
2056,6262,"Dietikon, Silbern"
2057,414,"Dietikon, Bahnhofstrasse"
2059,502,"Dietikon, Birmensdorferstrasse"
2060,2256,"Zürich, Schmiede Wiedikon"
2061,2085,"Bergdietikon, Rietwies"
2063,425,"Bergdietikon, Baltenschwil"
2078,6659,"Wallisellen, Neugut"
2079,6660,"Dübendorf, Giessen"
2081,6032,"Zürich, Depot 7 Irchel"
2082,3785,"Dübendorf, Ringwiesen"
2083,132,"Zürich, Auzelg"
2084,1453,"Zürich, Kreuzplatz"
2085,1522,"Zürich, Laubiweg"
2086,435,"Zürich, Beckenhof"
2087,1468,"Zürich, Kronenstrasse"
2088,2474,"Zürich, Stampfenbachplatz"
2089,2045,"Zürich, Regensbergbrücke"
2090,144,"Zürich, Bad Allenmoos"
2092,2549,"Zürich, Rehalp"
2094,2807,"Waldburg, Station"
2096,2826,"Zumikon, Waltikon"
2103,3002,"Zollikerberg, Station"
2104,1845,"Zürich, Opernhaus"
2110,2879,"Zürich, Wetlistrasse"
2111,3039,"Zürich, Bahnhof Stadelhofen"
2113,1144,"Zürich, Hegibachplatz"
